,sc2304,sc2305,sc2306,sc2307,sc2308,sc2309,sc2310
0,491.5,525.3,521.0,524.1,601.7,622.4,714.3
1,491.3,523.9,522.0,524.7,614.1,622.4,690.0
2,486.5,521.0,520.0,516.3,611.2,600.8,628.0
3,485.4,519.1,520.6,525.1,608.1,619.7,712.0
4,486.0,518.5,517.9,524.7,601.7,619.7,709.2
5,485.0,513.3,517.9,517.8,614.1,620.0,711.8
6,485.7,523.5,511.0,525.1,611.2,603.8,699.2
7,491.8,530.0,511.0,525.4,608.1,603.8,698.0
8,490.7,529.0,516.0,516.8,601.7,600.2,698.1
9,491.7,529.7,515.2,524.5,614.1,637.0,697.9
10,489.9,529.4,518.1,518.7,606.8,635.0,698.8
11,491.2,565.7,518.1,517.6,607.5,625.0,696.7
12,491.3,585.0,515.4,525.1,606.1,622.1,696.8
13,491.7,569.1,512.0,524.7,605.2,620.4,696.0
14,486.0,570.0,517.0,518.2,602.8,622.0,695.9
15,492.5,568.8,507.0,517.6,601.5,628.2,698.0
16,492.5,568.1,507.1,525.1,601.4,636.0,695.0
17,492.8,568.5,507.0,525.4,601.2,686.0,687.8
18,492.6,568.0,507.0,516.8,601.4,686.0,686.8
19,491.9,570.1,508.0,524.5,601.2,686.0,683.8
20,487.6,571.0,508.0,518.7,601.2,689.0,684.9
21,491.8,585.6,507.7,517.6,603.4,696.4,682.8
22,490.1,543.9,508.0,525.1,603.4,698.0,715.0
23,487.4,575.0,508.0,524.7,603.6,697.0,730.0
24,493.3,588.8,508.0,519.4,602.6,696.0,730.0
25,482.6,565.7,496.0,519.3,600.0,695.9,730.0
26,491.8,585.0,495.1,517.6,601.1,690.0,730.0
27,491.3,569.1,496.0,525.1,601.3,688.9,730.0
28,490.8,570.0,496.0,525.4,602.5,689.6,730.0
29,505.5,568.8,496.0,516.8,595.7,690.7,728.0
30,490.8,568.1,496.0,524.5,599.8,691.2,728.0
31,491.3,568.5,496.0,518.7,599.6,693.4,728.0
32,486.5,568.0,496.0,517.6,599.3,686.0,728.0
33,485.4,568.9,496.0,525.1,598.5,688.0,730.0
34,486.0,568.8,495.6,524.7,597.5,691.2,729.0
35,485.0,553.0,492.0,519.6,595.2,684.2,732.0
36,485.7,563.9,492.0,520.6,597.0,688.9,732.0
37,491.8,567.5,492.0,520.3,595.3,688.0,732.0
38,490.7,571.9,489.3,521.2,596.0,686.9,732.0
39,491.7,571.0,491.0,526.6,595.1,687.9,735.0
40,489.9,566.9,491.8,526.9,591.9,685.1,734.3
41,491.2,570.5,495.0,515.9,595.0,691.2,730.0
42,491.3,570.1,496.0,516.6,599.3,687.0,735.0
43,491.7,570.7,495.3,519.0,599.8,687.0,734.9
44,486.0,583.5,495.3,517.3,599.4,687.0,735.0
45,492.5,585.0,496.0,527.1,599.4,687.0,731.2
46,492.5,569.7,495.3,517.2,599.0,683.5,735.0
47,492.8,565.0,495.1,517.5,599.2,680.2,730.0
48,492.6,571.0,495.1,519.0,601.0,679.7,734.5
49,491.9,571.0,494.0,517.0,598.3,679.7,735.0
50,487.6,585.6,494.0,517.2,599.5,679.7,742.0
51,491.8,575.6,494.0,524.5,599.3,679.7,736.0
52,490.1,575.0,494.0,519.6,599.0,678.9,736.1
53,487.4,588.8,494.0,519.0,599.2,678.7,735.0
54,493.3,565.7,496.0,518.5,600.5,678.7,736.0
55,482.6,585.0,496.0,519.3,600.9,677.1,736.0
56,491.8,569.1,495.0,517.6,600.3,678.5,735.0
57,491.3,570.0,525.0,525.1,599.0,677.6,736.0
58,490.8,568.8,527.6,525.4,598.5,677.1,735.0
59,505.5,568.1,528.6,516.8,599.0,677.1,736.0
60,490.8,568.5,529.6,524.5,599.6,677.0,740.4
61,491.3,568.0,527.3,518.7,599.6,678.0,731.3
