Trddt,Symbol,Trdvar,Exchange,Open,High,Low,Close,Volume
2020/1/2,SC2003,中质含硫原油,INE,483.7,483.7,479.7,481.7,5163
2020/1/2,SC2006,中质含硫原油,INE,472.6,472.6,470,471.2,25
2020/1/2,SC2009,中质含硫原油,INE,455.2,464.7,455.2,464.7,8
2020/1/2,SC2012,中质含硫原油,INE,458.2,458.2,458.2,458.2,1
2020/1/2,SC2103,中质含硫原油,INE,453.7,453.7,453.7,453.7,1
2020/1/2,SC2106,中质含硫原油,INE,443,443,443,443,0
2020/1/2,SC2109,中质含硫原油,INE,448,448,448,448,0
2020/1/2,SC2112,中质含硫原油,INE,452.1,452.1,452.1,452.1,0
2020/1/2,SC2002,中质含硫原油,INE,483.1,484.4,480.5,482.5,11787
2020/1/2,SC2203,中质含硫原油,INE,430.2,430.2,430.2,430.2,2
2020/1/2,SC2004,中质含硫原油,INE,478.9,478.9,475.7,477.4,658
2020/1/2,SC2005,中质含硫原油,INE,474.7,474.7,472.1,473.5,132
2020/1/2,SC2206,中质含硫原油,INE,429.9,429.9,428.8,428.8,3
2020/1/2,SC2007,中质含硫原油,INE,473.8,473.8,473.8,473.8,0
2020/1/2,SC2008,中质含硫原油,INE,463.3,463.3,463.3,463.3,0
2020/1/2,NR2002,20号胶,INE,10745,10820,10485,10485,1242
2020/1/2,NR2003,20号胶,INE,10780,10930,10555,10600,5081
2020/1/2,NR2004,20号胶,INE,10900,11030,10655,10680,7482
2020/1/2,NR2005,20号胶,INE,10940,11100,10745,10765,1442
2020/1/2,NR2006,20号胶,INE,11075,11140,10795,10840,1848
2020/1/2,NR2007,20号胶,INE,11130,11130,11130,11130,0
2020/1/2,NR2008,20号胶,INE,11020,11020,11020,11020,0
2020/1/2,SC2209,中质含硫原油,INE,443.7,443.7,443.7,443.7,0
2020/1/2,SC2010,中质含硫原油,INE,452,452,452,452,0
2020/1/2,NR2009,20号胶,INE,11295,11295,11295,11295,0
2020/1/2,NR2010,20号胶,INE,11060,11060,11060,11060,0
2020/1/2,SC2011,中质含硫原油,INE,450.6,450.6,450.6,450.6,0
2020/1/2,NR2011,20号胶,INE,10835,10835,10835,10835,0
2020/1/2,SC2212,中质含硫原油,INE,425.7,425.7,425.7,425.7,0
2020/1/2,NR2012,20号胶,INE,10945,10945,10945,10945,0
2020/1/2,SC2101,中质含硫原油,INE,452.7,452.7,452.7,452.7,0
2020/1/3,SC2003,中质含硫原油,INE,480.6,502.4,478.6,499,51402
2020/1/3,SC2006,中质含硫原油,INE,469,488.7,469,486.4,143
2020/1/3,SC2009,中质含硫原油,INE,459,475.5,459,471.2,5
2020/1/3,SC2012,中质含硫原油,INE,470.7,470.7,470.7,470.7,1
2020/1/3,SC2103,中质含硫原油,INE,457.1,457.1,457.1,457.1,0
2020/1/3,SC2106,中质含硫原油,INE,455,455,455,455,0
2020/1/3,SC2109,中质含硫原油,INE,460.2,460.2,460.2,460.2,0
2020/1/3,SC2112,中质含硫原油,INE,452.1,452.1,452.1,452.1,0
2020/1/3,SC2002,中质含硫原油,INE,481.4,502.9,479.3,499.7,76237
2020/1/3,SC2203,中质含硫原油,INE,450.9,456,432.1,451.5,81
2020/1/3,SC2004,中质含硫原油,INE,477.3,496.5,474.8,495.5,5120
2020/1/3,SC2005,中质含硫原油,INE,472.5,491.6,471.7,489.9,1100
2020/1/3,SC2206,中质含硫原油,INE,445.7,445.7,444.9,444.9,2
2020/1/3,SC2007,中质含硫原油,INE,467,483.1,467,483.1,5
2020/1/3,SC2008,中质含硫原油,INE,476.3,476.3,476.3,476.3,1
2020/1/3,NR2002,20号胶,INE,10485,10615,10485,10510,255
2020/1/3,NR2003,20号胶,INE,10640,10720,10580,10600,3643
2020/1/3,NR2004,20号胶,INE,10635,10810,10635,10705,5463
2020/1/3,NR2005,20号胶,INE,10765,10900,10760,10795,687
2020/1/3,NR2006,20号胶,INE,10885,10950,10815,10855,956
2020/1/3,NR2007,20号胶,INE,11100,11100,11100,11100,0
2020/1/3,NR2008,20号胶,INE,11020,11020,11020,11020,0
2020/1/3,SC2209,中质含硫原油,INE,445,445,445,445,1
2020/1/3,SC2010,中质含硫原油,INE,475,475,475,475,1
2020/1/3,NR2009,20号胶,INE,11295,11295,11295,11295,0
2020/1/3,NR2010,20号胶,INE,11060,11060,11060,11060,0
2020/1/3,SC2011,中质含硫原油,INE,453.2,453.2,453.2,453.2,0
