date,spread,open_threshhold_p,close_threshhold_p,open_threshhold_m,close_threshhold_m,stop_loss_p,stop_loss_m
2022/6/1,0.567104492,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/6/2,0.558564856,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/6/6,0.666965695,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/6/7,1.417255566,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/6/8,1.417255566,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/6/9,1.713867819,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/6/10,1.71901174,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/6/13,1.056004956,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/6/14,1.056004956,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/6/15,0.457785808,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/6/16,0.253557669,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/6/17,0.135603559,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/6/20,2.087570875,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/6/21,1.359820054,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/6/22,2.654665762,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/6/23,2.349129742,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/6/24,-0.463946205,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/6/27,0.150013108,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/6/28,1.52740358,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/6/29,-0.368865593,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/6/30,0.497203492,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/7/1,-0.001657412,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/7/4,-0.099615184,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/7/5,-0.099615184,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/7/6,1.467901326,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/7/7,-0.268907956,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/7/8,1.108695359,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/7/11,0.573925902,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/7/12,0.132938169,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/7/13,1.090977719,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/7/14,-2.530458554,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/7/15,-2.502686832,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/7/18,-0.212629567,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/7/19,0.024950627,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/7/20,-0.724972984,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/7/21,-0.541462174,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/7/22,-0.541462174,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/7/25,-0.584483442,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/7/26,-0.39884451,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/7/27,-0.460228428,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/7/28,-0.513306392,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/7/29,-0.562041456,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/8/1,0.766901111,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/8/2,-0.639235869,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/8/3,-0.223374324,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/8/4,-1.729457019,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/8/5,-0.758915413,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/8/8,-1.95064216,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/8/9,-0.11278644,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/8/10,-0.352795834,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/8/11,-0.508699411,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/8/12,-1.616441005,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/8/15,-0.414232803,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/8/16,-0.532562332,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/8/17,0.11091262,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/8/18,0.183879705,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/8/19,-0.581809811,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/8/22,-0.930209486,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/8/23,-1.421312785,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/8/24,-0.135511808,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/8/25,-0.790109605,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/8/26,-0.444020552,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/8/29,-1.310351289,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/8/30,-1.436216485,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/8/31,-0.019009658,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/9/1,0.819705344,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/9/2,-0.407430156,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/9/5,-1.072680004,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/9/6,-1.416554141,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/9/7,-0.278257027,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/9/8,-0.05820071,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/9/9,-0.049456227,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/9/13,-0.390103772,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/9/14,-0.675917415,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/9/15,0.088139881,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/9/16,-0.866066439,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/9/19,-0.476082461,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/9/20,-0.732532079,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/9/21,-0.846283398,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/9/22,-0.966317499,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/9/23,-0.26988861,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/9/26,-1.221683503,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/9/27,-0.273543394,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/9/28,-0.352978998,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/9/29,-0.168895797,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/9/30,-0.641022213,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/10/10,-0.725607568,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/10/11,-0.593899793,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/10/12,-0.474753988,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/10/13,-0.273594496,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/10/14,-0.51759232,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/10/17,-0.602413454,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/10/18,-0.384191202,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/10/19,-0.967162388,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/10/20,-1.517159336,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/10/21,-0.717835101,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/10/24,-0.454217574,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/10/25,-0.664679704,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/10/26,-0.542322613,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/10/27,-0.863433168,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/10/28,-0.784557457,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/10/31,-0.944795773,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/11/1,-1.211483135,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/11/2,-1.194684578,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/11/3,-1.51809985,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/11/4,-1.336376037,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/11/7,-1.505613006,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/11/8,-1.281122622,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/11/9,-1.415997593,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/11/10,-0.774816728,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/11/11,-0.792061527,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/11/14,-0.589329319,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/11/15,-0.2506766,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/11/16,0.171734026,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/11/17,0.334930098,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/11/18,0.67115258,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/11/21,0.318753042,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/11/22,0.81268978,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/11/23,0.201026154,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/11/24,0.854582395,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/11/25,0.885689295,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/11/28,0.71786082,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/11/29,1.264131751,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/11/30,1.251642811,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/12/1,1.171730819,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/12/2,1.46921543,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/12/5,1.105685958,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/12/6,1.282605969,1.1,0.5,-1.1,-0.5,2.1,-2.1
2022/12/7,1.362174805,1.1,0.5,-1.1,-0.5,2.1,-2.1
